a,b,relationship
武汉兆航精密工业有限公司,镗孔刀具及其加工方法,开发
中交第二航务工程局有限公司,一种可调平衡式构件安装装置,开发
中车长江车辆有限公司,公铁联运车用承载连接装置,开发
湖北跃华检测有限公司,一种环境空气质量自动监控装置,开发
武汉鸿博鑫科技有限公司,汽车发动机缸体定位装置,开发
武汉英康汇通电气有限公司,一种在线充电式电动车制动能量的回收系统,开发
东风汽车有限公司,油门踏板组件及其控制方法,开发
武汉思普崚技术有限公司,一种端口镜像自动化测试方法及装置,开发
武汉腾索科技有限公司,控制燃油箱通气阀的方法及设备,开发
武汉斑马快跑科技有限公司,一种风险行为识别方法,开发
中铁科工集团轨道交通装备有限公司,用于大型环形件吊装的吊具,开发
武汉斗鱼网络科技有限公司,自动监控数据库服务的方法、存储介质、电子设备及系统,开发
武汉中海庭数据技术有限公司,用于自动驾驶中的道路标识制图及车辆定位方法及系统,开发
中交第二航务工程局有限公司,钢构件整体模块化精加工定位装置,开发
武汉华中数控股份有限公司,利用伺服驱动器评价电机齿槽转矩大小的方法及系统,开发
中车长江车辆有限公司,一种带锁轴装置的漏斗车底门及漏斗车,开发
武汉斗鱼网络科技有限公司,一种电子设备中视频文件转码方法及电子设备,开发
武汉飞恩微电子有限公司,用于智能交通的多参数组合传感器,开发
东风汽车有限公司,一种充气装置、自动充气系统及其控制方法,开发
武汉理工通宇新源动力有限公司,一种机械式变速器的电机驱动选换挡执行机构,开发
东风汽车有限公司,自动驾驶转角控制方法、电子设备及存储介质,开发
东风汽车有限公司,电动汽车动力电池支架及系统,开发
武汉华中数控股份有限公司,一种产生整数频率脉冲的信号发生器及信号产生方法,开发
中交第二航务工程局有限公司,钢壳混凝土沉管管节预制信息化系统,开发
武汉斗鱼网络科技有限公司,一种基于Lucence的检索推送方法及系统,开发
中车长江车辆有限公司,一种物流运输车系统,开发
武汉斗鱼网络科技有限公司,防止被刷的验证方法及装置,开发
武汉盛帆电子股份有限公司,电能表生产线上的检测装置,开发
中车长江车辆有限公司,一种在圆柱面滚压标志的装置及使用该装置的方法,开发
武汉齐达康能源装备有限公司,气液混输增压系统,开发
武汉凡谷电子技术股份有限公司,一种数字微波系统高增益射频通道AGC控制环路,开发
中车长江车辆有限公司,中枕梁测量装置的制作方法,开发
武汉锆元传感技术有限公司,一种片式氧传感器芯片的制造方法,开发
武汉智能控制工业技术研究院有限公司,一种车载设备故障重连总线接口模块,开发
武汉裕大华纺织服装集团有限公司,一种适用于智能纺纱的抓棉新工艺,开发
武汉中海庭数据技术有限公司,一种自动驾驶用高精度地图数据网格化的管理方法及装置,开发
武汉华工激光工程有限责任公司,人字形筛缝管激光加工工艺,开发
神龙汽车有限公司,一种珩磨机膨胀运动定量控制方法,开发
武汉重型机床集团有限公司,镗轴尾部支座水平双线轨支撑结构和安装方法,开发
武汉佳特轿车零部件有限公司,用于汽车尾门的电动开闭系统,开发
武汉理工通宇新源动力有限公司,一种电驱动自动变速器能量回馈系统及方法,开发
东风汽车集团有限公司,车用宽域氧传感器失效监测方法,开发
武汉盛硕电子有限公司,短距离无线通信的智能门禁和考勤系统及控制方法,开发
中车长江车辆有限公司,铁道货车车体与转向架吊运连接装置,开发
武汉辰羽科技有限公司,无谐振峰隔振缓冲器,开发
东风汽车集团有限公司,基于不同驾驶员身高的外后视镜自适应位置调节方法,开发
武汉斗鱼网络科技有限公司,批量单元测试方法、装置、可读存储介质及设备,开发
武汉中海庭数据技术有限公司,基于车道线特征匹配的高精度定位装置及方法,开发
凌云科技集团有限责任公司,一种机载大气数据系统曼彻斯特码解析及仿真系统,开发
武汉海达数云技术有限公司,三维激光扫描仪的旋转控制方法,开发
武汉斗鱼网络科技有限公司,一种基于图像识别的测光处理方法、系统与设备,开发
易瓦特科技股份公司,旋翼机传动装置,开发
东风汽车集团有限公司,一种前翻式发动机罩、连接结构及汽车,开发
东风汽车集团有限公司,多功能碳罐试验系统及试验方法,开发
中车长江车辆有限公司,一种冷冲压方法,开发
武汉高德红外股份有限公司,一种红外测温方法及系统,开发
武汉斗鱼网络科技有限公司,一种分类模型训练系统及其实现方法,开发
武汉理工通宇新源动力有限公司,一种车用永磁同步电机转子结构及车辆,开发
武汉依迅北斗空间技术有限公司,一种驾驶行为规范度的评价方法和装置,开发
中铁建电气化局集团南方工程有限公司,一种电线保护套管的固定装置,开发
中铁十一局集团有限公司,一种推送式磁浮轨排运输车,开发
武汉云众科技有限公司,基于红外探测的螺纹钢计数方法及系统,开发
武汉华中数控股份有限公司,一种基于数控机床批量加工的工件尺寸补偿方法,开发
东风李尔汽车座椅有限公司,一种汽车座椅靠背滑轨联动解锁机构,开发
武汉市神风汽车工业有限责任公司,新能源车B柱横梁总成焊接夹具,开发
神龙汽车有限公司,一种自适应巡航控制标牌性能检测装置及方法,开发
武汉瑞松北斗汽车装备有限公司,适用多车型的无源台车,开发
武汉海达数云技术有限公司,一种室内环境下三维空间信息连续精确采集方法,开发
武汉重型机床集团有限公司,快速安装测量装置自动定心结构,开发
武汉松芝车用空调有限公司,减震降噪便于维修的轻量化冷藏机组冷凝器,开发
武汉敏岛汽车零部件有限公司,一种QA机自动装配检测系统,开发
武汉市汉峰实业发展有限公司,数控薄膜旋切机,开发
中铁科工集团有限公司,一种共振破碎机导向装置及方法,开发
武汉洪斯德汽车有限公司,可精确调节流量的减压阀,开发
易瓦特科技股份公司,双本体的空中投放装置,开发
中铁工程机械研究设计院有限公司,一种多点平衡可调仰角的吊臂搁置锁定装置及方法,开发
武汉华中数控股份有限公司,一种操作数控机床升级数据包的方法及装置,开发
东风汽车集团有限公司,一种座椅自动跨线装置,开发
武汉联航机电有限公司,一种固定节注油机构,开发
武汉华工激光工程有限责任公司,基于Labview的激光光束分析系统及方法,开发
东风汽车集团有限公司,一种车门模拟护板的人机验证装置,开发
武汉斗鱼网络科技有限公司,基于GPU算法的客户端验证方法及系统,开发
武汉斗鱼网络科技有限公司,一种测试漏洞的方法和系统,开发
武汉元丰汽车零部件有限公司,间隙自动调整器以及气压盘式制动器,开发
武汉盛帆电子股份有限公司,电力线宽带载波通信测试方法及装置,开发
武汉东测科技有限责任公司,一种刹车油门组合踏板及其加速、刹车方法,开发
武汉重型机床集团有限公司,基于液压预紧的重载液体静压转台及液压预紧控制方法,开发
武汉斗鱼网络科技有限公司,基于熵值法的用户分区偏好计算方法及系统,开发
武汉华工激光工程有限责任公司,一种光路放大的自动对焦装置,开发
东风汽车集团有限公司,一种高集成双横臂前悬架转向驱动桥安装支架及安装结构,开发
武汉合康动力技术有限公司,一种基于客车AMT自动变速箱换挡机构自学习控制方法,开发
国网湖北送变电工程有限公司,基于UWB无线测距技术的抱杆倾角测量方法,开发
武汉华工激光工程有限责任公司,一种奥氏体不锈钢耐蚀强化件表面处理方法,开发
武汉盛硕电子有限公司,一种电动车充电系统及控制方法,开发
东风本田汽车有限公司,便携式电子车轮外倾角测量仪,开发
武汉斗鱼鱼乐网络科技有限公司,用户流失的特征分析方法、预测方法、装置、设备及介质,开发
武汉斗鱼网络科技有限公司,软硬件协同编码方法及系统,开发
神龙汽车有限公司,一种汽车前脸结构,开发
武汉武耀安全玻璃股份有限公司,一种掏箱装置,开发
武汉瑞松北斗汽车装备有限公司,汽车轮罩特种抓手切换板,开发
武汉光庭信息技术股份有限公司,一种TBox蓝牙连接方法和装置,开发
武汉协和齿环有限公司,钢基齿环磁性喷砂夹具及喷砂方法,开发
东风汽车集团有限公司,驻车与电机冷却集成的混动变速箱液压控制方法及系统,开发
武汉凯沃森天窗系统有限公司,一种汽车天窗,开发
武汉无为广域网络能源股份有限公司,发电机智能运维体系,开发
中国船舶重工集团应急预警与救援装备股份有限公司,一种可拼装模块式车辆保养检查平台,开发
武汉世纪宏设备制造有限责任公司,制作轨道交通货车敞车下侧门折页的方法,开发
神龙汽车有限公司,深度自调节杯托结构,开发
湖北开特汽车电子电器系统股份有限公司,一种用于测量电池冷却水管温度的温度传感器,开发
东风汽车集团有限公司,主动脱附汽油蒸气及二次喷射系统、以及方法,开发
中车长江车辆有限公司,基于侧架定位检测的防脱轨转向架及其脱轨检测方法,开发
武汉斗鱼网络科技有限公司,数据上传方法及装置,开发
湖北三环成套工业有限公司,一种车床的丝杠与导轨的平行度检测装置,开发
武汉斗鱼网络科技有限公司,推送信息处理方法及装置,开发
武汉光庭信息技术股份有限公司,一种导航数字地图道路数据元素的唯一编码生成方法,开发
武汉雷博合创电子科技有限公司,基于线性调频连续波的雷达目标长时间积累检测方法,开发
东风汽车集团有限公司,一种确定内高压成型工艺参数的方法,开发
东风汽车有限公司,车载香氛系统,开发
东风汽车有限公司,一种汽车监控方法及系统,开发
武汉英康汇通电气有限公司,一种旋风火焰筒及其涡轮发电机,开发
武汉斗鱼网络科技有限公司,一种界面卡顿监测方法及装置,开发
武汉斗鱼网络科技有限公司,一种数据处理方法及系统,开发
东风电动车辆股份有限公司,集成控制器电驱动系统的三相连接结构,开发
中车长江车辆有限公司,一种罐车,开发
武汉斗鱼网络科技有限公司,一种多个数据单元中进度条动态刷新方法及装置,开发
武汉中车长客轨道车辆有限公司,轨道车辆连接线的绝缘耐压实验法,开发
湖北省电力装备有限公司,一种高压计量柜,开发
中车长江车辆有限公司,一种曲线箱型梁的组装装置及方法,开发
武汉华工激光工程有限责任公司,一种用于激光切割油墨丝印蓝宝石的方法,开发
武汉珈和科技有限公司,基于多时相数据中特征提取的中稻信息决策树分类方法,开发
东风汽车集团有限公司,一种轮毂电机控制器及控制方法,开发
武汉洛特福动力技术有限公司,具有加压渗水清洗功能的尿素泵系统及使用方法,开发
武汉无忧车智能科技有限公司,一种无人洗车方法和装置,开发
武汉华中数控股份有限公司,一种电机性能测试系统,开发
武汉腾索科技有限公司,车辆燃油箱电磁阀控制方法及设备,开发
中交第二航务工程局有限公司,一种振弦传感器的锚固结构,开发
东风汽车集团有限公司,基于油路系统排气的起动辅助控制方法,开发
武汉烽火信息集成技术有限公司,自适应大数据存储平台,开发
东风汽车集团有限公司,两栖车辆传动系统的密封隔振装置及其连接结构,开发
东风汽车集团有限公司,一种车辆换挡后爆震误判的剔除方法,开发
神龙汽车有限公司,车载WiFi性能检测方法和系统,开发
东风汽车集团有限公司,一种基于盲区监测的车道保持辅助方法及系统,开发
武汉华工正源光子技术有限公司,带背光监控用于高速传输的光组件,开发
武汉鑫恒通车桥制造有限公司,转向节主销孔夹具,开发
武汉中海庭数据技术有限公司,一种基于高精度地图和传统地图结合的路径规划方法及装置,开发
中车长江车辆有限公司,一种漏斗车的上漏斗脊,开发
南斗六星系统集成有限公司,一种大型停车场停车管理系统和方法,开发
武汉星巡智能科技有限公司,负载摄像装置的飞行器云台稳定性测试方法,开发
武汉斗鱼网络科技有限公司,同时记录多种信息的方法及装置,开发
法雷奥照明湖北技术中心有限公司,光导组件以及照明和/或信号指示装置,开发
武汉元光科技有限公司,公交系统中GPS定位数据补偿方法及电子设备,开发
武汉慧谷银河智能系统工程有限公司,等离子切割机出弧方法,开发
武汉飞流智能技术有限公司,一种无人机机臂动能效率自动化测试装置,开发
武汉神骏专用汽车制造股份有限公司,螺栓连接式均载平衡梁半挂车,开发
东风汽车集团有限公司,一种混合动力越野汽车冷却系统及其控制方法,开发
中车长江车辆有限公司,车架以及空中运输车辆,开发
东风汽车有限公司,力值可调节的离合器踏板系统和离合器踏板力值的调整方法,开发
武汉重型机床集团有限公司,基于三点支承结构的重载卧车静压头架主轴顶尖调整方法,开发
武汉华工激光工程有限责任公司,镀锌板激光叠焊方法,开发
中车长江车辆有限公司,一种针对封闭容器合拢缝的焊接工艺方法,开发
武汉锦瑞技术有限公司,一种铝合金缸盖尺寸和水套通透性综合测试机,开发
易瓦特科技股份公司,具有冷却系统的柔性排气通道,开发
三环集团有限公司,一种碳氮共渗轴承零件及制备方法和具有该零件的球轴承,开发
武汉华中数控股份有限公司,一种低磁阻力永磁直线电机,开发
东风汽车集团有限公司,采用复用动力的轮式车辆助推系统、含有该助推系统的底盘结构和汽车,开发
武汉协和齿环有限公司,一种同步器齿环内环加工复合夹具,开发
东风汽车集团有限公司,一种扶手角度自适应调节的铰座结构、座椅结构及汽车,开发
武汉中原电子集团有限公司,一种动力电池电量计量装置,开发
武汉斗鱼网络科技有限公司,列表显示方法及装置,开发
东风汽车集团有限公司,用于自然吸气发动机的塑料进气歧管总成,开发
东风佛吉亚汽车内饰有限公司,行李箱地毯自动生产线中的增压结构,开发
法雷奥照明湖北技术中心有限公司,反光塔、光反射组件以及照明和/或信号指示装置,开发
武汉斗鱼网络科技有限公司,一种统计用户行为数据的方法及装置,开发
武汉斗鱼网络科技有限公司,一种切换导航栏的方法及装置,开发
易瓦特科技股份公司,具有隔热罩的柔性排气通道,开发
武汉宝钢华中贸易有限公司,基于多智能体月台调度智能排序模型的构造,开发
武汉市海川汽车零部件有限公司,一种传感器连接线的制作方法,开发
武汉北方能源股份有限公司,一种电动汽车充电宝,开发
东风汽车集团有限公司,具有域控制功能的车载控制系统及方法,开发
武汉斗鱼网络科技有限公司,切换录屏直播分辨率的方法及装置,开发
湖北一彰科技有限责任公司,微型电动车电池管理系统,开发
东风汽车集团有限公司,汽车电磁阀控制电路及其控制方法,开发
武汉重型机床集团有限公司,一种重载高速电主轴在线加载平台及其使用方法,开发
中交第二航务工程局有限公司,光纤振弦组合且初始值可调表贴式传感器,开发
扬子江汽车集团有限公司,在线充纯电动车辆动力电池的充电控制方法及系统,开发
湖北开特汽车电子电器系统股份有限公司,基于LIN总线的环境光传感器及在线标定、校准及传输方法,开发
中车长江车辆有限公司,一种车钩钩体牵引台打磨加工装置,开发
神龙汽车有限公司,可自动调节高度的缓冲块及其在汽车上的连接结构,开发
东风马勒热系统有限公司,一种汽车冷却模块集成结构,开发
武汉斗鱼网络科技有限公司,风险行为识别方法、存储介质、设备及系统,开发
中车长江车辆有限公司,一种行车控制方法及管道运输系统,开发
武汉武耀安全玻璃股份有限公司,汽车玻璃吻合度垂向变差仪,开发
湖北开特汽车电子电器系统股份有限公司,带报警灯的多功能光传感器装置,开发
东风汽车有限公司,汽车前排座椅及其放平控制方法,开发
神龙汽车有限公司,一种装饰板快速装配和限位结构,开发
东风李尔汽车座椅有限公司,可折叠的汽车座椅安全带导向器,开发
武汉凡谷电子技术股份有限公司,腔体滤波器的谐振杆与抽头线的装配方法,开发
武汉华工正源光子技术有限公司,调制掺杂型多周期应变补偿量子阱外延层及其生长方法,开发
武汉依迅北斗空间技术有限公司,一种渣土车的车辆调度方法和装置,开发
武汉鑫恒通车桥制造有限公司,一种应用在叉车驱动桥上的盘式制动器,开发
神龙汽车有限公司,布置紧凑的汽车行李箱盖缓冲块总成及连接结构,开发
武汉凯沃森工业科技有限公司,SCR系统用集成式尿素计量泵,开发
武汉协和齿环有限公司,一种同步器总成装配用机构及装配方法,开发
武汉元光科技有限公司,公交中途站点位置检测方法及系统,开发
武汉微摇科技文化有限公司,语音弹幕同步方法和系统,开发
武汉斗鱼网络科技有限公司,一种标识符生成方法和装置,开发
武汉汉宁轨道交通技术有限公司,模型解算方法、控制单元、控制系统及铁路道岔检测方法,开发
东风汽车集团有限公司,一种直喷发动机喷油器积碳自清洁控制方法,开发
武汉中海庭数据技术有限公司,车载激光扫描点云的组织管理方法及系统,开发
中车长江车辆有限公司,一种车辆停靠控制方法及站级控制系统,开发
武汉斗鱼网络科技有限公司,一种异常目标确定方法、装置、设备及介质,开发
神龙汽车有限公司,可保护行人的主动式机罩铰链,开发
湖北三环汽车工程塑料有限公司,一种门板焊接生产线及生产方法,开发
中车长江车辆有限公司,一种管道运输车控制系统,开发
武汉斗鱼网络科技有限公司,弹幕数据展示方法及装置、计算机可读存储介质,开发
中车长江车辆有限公司,一种板材成型配件剪板机切边压紧装置及切边工艺,开发
中车长江车辆有限公司,一种压吨承载装置及其使用的单轴转向架空车高检测方法,开发
武汉元生创新科技有限公司,一种用于手势识别的动作捕捉手套及其校准方法,开发
武汉杜曼智能科技有限公司,自动除尘发动机热管理控制驱动器、控制方法及系统,开发
中车长江车辆有限公司,用于漏斗车的端墙与侧墙的强化结构,开发
武汉斗鱼网络科技有限公司,一种接口检测流程的设置方法和系统,开发
武汉斗鱼网络科技有限公司,持续时间无人脸的预警方法及装置,开发
武汉瑞松北斗汽车装备有限公司,一种顶棚自动化生产线,开发
湖北开特汽车电子电器系统股份有限公司,基于瞬态电流测汽车空调齿轮系配合性方法、系统及应用,开发
国网湖北省电力有限公司,双面太阳能电池跟踪支架的面板结构设计方法,开发
武汉斗鱼网络科技有限公司,一种图像处理的方法及装置,开发
神龙汽车有限公司,一种穿孔结构总成隔音量的测量方法和装置,开发
东风汽车有限公司,一种车机屏幕与手机的连接控制方法及系统,开发
武汉东测科技有限责任公司,一种电推动模拟油压刹车装置,开发
易瓦特科技股份公司,飞行避障过程中进行测距模块切换选择的方法及装置,开发
东风汽车有限公司,动态信号灯及其控制方法,开发
中国通信建设第三工程局有限公司,一种光缆信号传输系统,开发
武汉精伦电气有限公司,一种基于预测相移技术改良的阻抗测距方法,开发
武汉市恒通诚汽车零部件有限公司,一种自动清洁毛坯内腔的装置,开发
武汉武新电气科技股份有限公司,一种用于高性能矢量变频器的输出电压和频率检测电路,开发
武汉斗鱼网络科技有限公司,视频流地址检测方法、装置及服务器,开发
中车长江车辆有限公司,一种组合式制动梁架的组装装置及方法,开发
山推楚天工程机械有限公司,一种用于混凝土泵电控式砼活塞内润滑系统,开发
武汉斗鱼网络科技有限公司,直播人数真实性检测方法、存储介质、电子设备及系统,开发
武汉敏惠汽车零部件有限公司,钢带边缘毛刺去除及板材表面自动涂油组合机,开发
湖北江汉石油仪器仪表股份有限公司,抽油机光杆位移测试方法及测试装置,开发
武汉标迪电子科技有限公司,电动汽车电池组单体电芯保护用熔断器,开发
中车长江车辆有限公司,快速装卸式棚车车体,开发
中铁工程机械研究设计院有限公司,一种用于共振破碎机的振动装置及共振破碎机,开发
武汉杜曼智能科技有限公司,具有电源开关与急停按键复用的工业遥控器及控制方法,开发
东风汽车集团有限公司,一种控制汽车组合仪表指针归零的方法,开发
武汉中车株机轨道交通装备有限公司,一种自主调节的列车用磁流变阻尼器,开发
中车长江车辆有限公司,一种车厢端墙与侧墙组装间隙超差的组焊方法,开发
武汉优斯特汽车传感器科技有限公司,一种介质隔离式温度传感器封装结构,开发
武汉斗鱼网络科技有限公司,一种集成多种图片库的方法、存储介质、设备及系统,开发
神龙汽车有限公司,一种防止工件重复加工、漏加工的方法,开发
武汉华中数控股份有限公司,一种通用电压测试装置,开发
武汉华工激光工程有限责任公司,黄铜配件激光焊接方法,开发
武汉斗鱼网络科技有限公司,一种随图像中关键点移动的自适应贴图方法和系统,开发
武汉斗鱼网络科技有限公司,Flash应用程序中的函数访问控制方法及装置,开发
武汉元生创新科技有限公司,一种两级分离融合的姿态和航向估计方法,开发
武汉盛帆电子股份有限公司,一种智能识别式电能表,开发
南斗六星系统集成有限公司,一种燃油车挡位识别方法和系统,开发
武汉东海石化重型装备有限公司,国产08Ni3DR钢薄层多道焊焊接工艺,开发
武汉泰歌氢能汽车有限公司,一种燃料电池涉氢实验室的安全管理系统,开发
神龙汽车有限公司,整车检具仪表板与副仪表板界面仿真模拟块及检测方法,开发
武汉华工激光工程有限责任公司,红外二维扫描镜组,开发
中交第二航务工程局有限公司,一种驾驶运梁车过隧道的自动控制方法及控制系统,开发
武汉华中数控股份有限公司,一种半桥电路,开发
武汉元光科技有限公司,公交车GPS设备时钟校准方法及装置,开发
中车长江车辆有限公司,一种车厢结构以及冷藏车,开发
武汉斗鱼网络科技有限公司,单元测试覆盖率生成方法、装置、可读存储介质及设备,开发
武汉无线飞翔科技有限公司,一种停车位短租方法,开发
东风汽车集团有限公司,装备手动变速器车辆的换挡冲击减弱系统及方法,开发
武汉英泰斯特电子技术有限公司,一种车联网CAN数据采集方法,开发
三环集团有限公司,一种重型卡车前端自动防撞系统,开发
武汉东顺汽车配件有限公司,汽车减磨衬套,开发
中车长江车辆有限公司,侧翻车车厢翻转气动液压控制系统,开发
武汉斗鱼网络科技有限公司,一种基于视频流播放状态的白名单生成系统及方法,开发
武汉市尚佳盛汽车配件有限公司,一种制造发动机盖铰链的方法,开发
中车长江车辆有限公司,两级刚度式弹性体组合装置,开发
中车长江车辆有限公司,液压式高度自动调整装置,开发
东风汽车集团有限公司,一种车道偏离预警系统及方法,开发
东风李尔汽车座椅有限公司,一种汽车滑轨的解锁机构,开发
东风汽车有限公司,一种换档方法,开发
武汉乐道物流有限公司,一种用于货车的驾驶员疲劳驾驶预警的装置及方法,开发
中铁建电气化局集团南方工程有限公司,一种电力贯通线电缆整理、收拢及绑扎装置,开发
湖北双可科技有限公司,一种基于大数据的停车管理系统,开发
武汉东测科技有限责任公司,一种发动机冷启动加载试验装置及方法,开发
中铁工程机械研究设计院有限公司,大吨位偏心箱梁的无级可调吊具,开发
武汉威立信科技有限公司,一种铣刀深度及角度可调节的精密零件制造用铣床,开发
武汉斗鱼网络科技有限公司,一种安全加载Flash文件的方法及装置,开发
中石化石油机械股份有限公司,液压钻机提升装置多通道马达同步控制策略,开发
武汉珞森源科技有限公司,电动汽车动态多级无线充电系统,开发
中铁科工集团轨道交通装备有限公司,一种扩大头丁型螺纹灌注桩成桩方法及双动力套管扩孔钻具,开发
武汉元丰汽车零部件有限公司,一种气压盘式制动器压板固定机构及方法,开发
武汉光庭信息技术股份有限公司,一种基于瓦片化的多路线道路筛选规划方法及系统,开发
扬子江汽车集团有限公司,纯电动车辆滑片式气泵的控制方法及系统,开发
武汉斗鱼网络科技有限公司,信息管理方法及装置,开发
中车长江车辆有限公司,一种货运动车,开发
武汉斗鱼网络科技有限公司,文本显示方法及装置,开发
武汉理工通宇新源动力有限公司,一种用于混合动力汽车发动机自动启动的控制方法,开发
易瓦特科技股份公司,用于旋翼变距的装置,开发
武汉盛帆电子股份有限公司,移相器负载识别方法、装置及用电保护系统,开发
神龙汽车有限公司,电泳漆颗粒湿打磨机,开发
东风汽车集团有限公司,战术车辆整车综合控制系统及方法,开发
湖北省楚天云有限公司,一种封闭容器生成方法、装置及设备,开发
武汉中车长客轨道车辆有限公司,城铁车异种车型车下线缆盒安装辅助装置,开发
武汉神骏专用汽车制造股份有限公司,鹅颈形梁自动焊接车,开发
武汉市海川汽车零部件有限公司,一种汽车传感器的连接线,开发
中车长江车辆有限公司,一种消除货车压力过充的装置,开发
中车长江车辆有限公司,集装箱载运工装,开发
东风汽车有限公司,一种将车辆影像与路面影像结合显示的方法和装置,开发
神龙汽车有限公司,一种车用烟灰盒,开发
武汉华中数控股份有限公司,五轴数控机床主轴热变形误差补偿方法及系统,开发
武汉神骏专用汽车制造股份有限公司,一种轮转向式半挂车转向装置,开发
中车长江车辆有限公司,一种驼背运输车的底架,开发
武汉斗鱼网络科技有限公司,用户对直播内容的偏好度量方法及装置,开发
武汉斗鱼网络科技有限公司,一种获取数据的方法、装置及计算机设备,开发
中车长江车辆有限公司,机械自锁式活塞缸及联杆机构控制系统,开发
武汉星巡智能科技有限公司,无线移动充电方法、装置及无人飞行器系统,开发
武汉英泰斯特电子技术有限公司,一种新能源车辆故障数据采集方法和装置,开发
武汉市金驰海科技有限公司,一种钢厂粉尘废料铁、碳、锌综合回收工艺,开发
武汉海达数云技术有限公司,三维激光扫描仪中的反射镜和三维激光扫描仪,开发
武汉斗鱼网络科技有限公司,RPC接口测试方法及系统,开发
武汉市六顺标准衡器有限公司,多重防护称重电子汽车衡,开发
武汉中海庭数据技术有限公司,一种基于高精度地图的车道级路径规划方法及系统,开发
武汉思普崚技术有限公司,一种与NFV虚拟安全网关相连的网元设备,开发
武汉华工激光工程有限责任公司,震动马达弹片与质量块的激光焊接方法,开发
武汉合康动力技术有限公司,一种基于RS422芯片实现车速采集电路,开发
武汉斗鱼网络科技有限公司,一种帧类型的判断方法及装置,开发
武汉安比克科技有限公司,一种油箱快速智能烘干系统,开发
武汉元丰汽车零部件有限公司,制动器间隙调整装置以及气压盘式制动器,开发
武汉中海庭数据技术有限公司,高精度地图数据管理方法及装置,开发
湖北雷迪特冷却系统股份有限公司,一种汽车冷却模块组合试验方法,开发
神龙汽车有限公司,一种汽车用亏电铅酸蓄电池的充电方法,开发
东风汽车集团有限公司,废气涡轮发动机增压闭环自适应系统及控制方法,开发
神龙汽车有限公司,具有阻尼和过载保护功能的车门锁扣,开发
武汉里得电力科技股份有限公司,基于配电线路维护的旁路作业方法及其配套作业装置,开发
东风博泽汽车系统有限公司,一种工件防错转盘自锁系统及控制方法,开发
武汉华中数控股份有限公司,管控数控平台系统及其构建方法,开发
武汉金仑汽配有限公司,一种管件气密性检测工作台,开发
武汉光庭信息技术股份有限公司,基于神经网络和PID算法的轨迹跟随方法,开发
武汉斗鱼网络科技有限公司,直播中AR扫描互动方法、存储介质、设备及系统,开发
东风汽车集团有限公司,一种控制不等厚拼焊板冲压变形的拉延造型方法,开发
湖北江汉石油仪器仪表股份有限公司,一种智能型活塞式压力计自动加载结构,开发
中车长江车辆有限公司,一种底架组成、车体及漏斗车,开发
中车长江车辆有限公司,基于承载鞍定位检测的防脱轨转向架及脱轨检测方法,开发
三环集团有限公司,一种盘式制动器制动力传递机构,开发
武汉市尚佳盛汽车配件有限公司,一种便于更换模具的冲床,开发
武汉斗鱼网络科技有限公司,一种安全加载Flash文件的方法及装置,开发
三环集团有限公司,一种碳氮共渗后的高碳铬长寿命轴承零件的检测方法,开发
武汉海达数云技术有限公司,一种激光扫描仪反射面参数的标定方法,开发
中车长江车辆有限公司,薄壁框型铸钢件防裂筋结构,开发
武汉华工正源光子技术有限公司,一种单片集成器件的制作方法及单片集成器件,开发
武汉钢铁江北集团冷弯型钢有限公司,P形钢管的成型方法,开发
武汉斗鱼网络科技有限公司,一种关注异常的检测方法、装置、设备和存储介质,开发
东风汽车集团有限公司,复合外形板料排样确定方法及其结构和冲压制造方法,开发
武汉合康动力技术有限公司,一种带自锁装置的滚珠丝杠式电控离合器执行机构,开发
中车长江车辆有限公司,一种导向装置、锥筒滚圆机及锥筒卷制方法,开发
武汉协和齿环有限公司,一种齿型夹具的检测工装,开发
神龙汽车有限公司,一种移动工装定位锁紧装置,开发
武汉华大鄂电电气设备有限公司,一种用于输电线包裹绝缘层的机器人,开发
武汉协和齿环有限公司,复合夹具及其制备方法,开发
中铁工程机械研究设计院有限公司,一种基于水位变化的电缆自动收放装置及方法,开发
武汉华中数控股份有限公司,伺服驱动电源模块及其工作方法,开发
东风汽车集团有限公司,一种电子节气门特征点位置自学习控制方法,开发
湖北三环汽车工程塑料有限公司,一种带承载风管的地毯总成及地毯下风管生产方法,开发
湖北三环成套工业有限公司,一种过载自毁齿轮,开发
武汉华科道普轨道交通信息技术有限公司,基于位置与任务的轨道交通安全施工信息服务推送系统,开发
中建三局安装工程有限公司,一种弧形管道加工装置,开发
武汉光庭信息技术股份有限公司,一种ADAS传感器数据的分类处理方法和装置,开发
武汉合康亿盛电气连接系统有限公司,一种基于空心线包的电抗器及其制造方法,开发
武汉协和齿环有限公司,同步器齿环装夹到位报警装置及车加工设备,开发
中车长江车辆有限公司,一种内置式装卸装置以及铁路冷藏车,开发
中车长江车辆有限公司,一种转臂式轴箱预压组装装置及方法,开发
中车长江车辆有限公司,一种漏斗车底门自锁装置及漏斗车底门,开发
武汉斗鱼网络科技有限公司,相似度确定方法、装置及电子设备,开发
中交第二航务工程局有限公司,采用三重管旋喷桩处置上软下硬地层的施工方法,开发
武汉斗鱼网络科技有限公司,一种基于用户页面行为的白名单生成系统及方法,开发
湖北机电院装备制造有限责任公司,一种电池堆栈设备,开发
中铁十一局集团有限公司,一种轨排扣件安装工具,开发
武汉艾德科技开发有限公司,一种数显双头切割锯,开发
