专利号,专利名称,专利类型,申请日,公开日,授权日,专利代理机构,专利法律状态,申请人类型,主申请人名称,主申请人地址,主申请人地址国家,累计被引用量,主分类号,专利分类号,专利分类号数量,国民经济行业分类代码,国民经济行业分类名称,大类,子类别
CN103587538B,一种二级锁闭装置、漏斗车底门及漏斗车,发明授权,2013-11-15,2014-02-19,2016-08-17,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61D7/26(2006.01),B61D7/26(2006.01),1.0,3711.0,铁路机车车辆及动车组制造,整车组装车身制造,车门生产车厢生产
CN108566323B,一种T-Box自动化测试方法及系统,发明授权,2018-03-21,2018-09-21,2020-11-03,武汉知产时代知识产权代理有限公司,发明专利权授予,企业,武汉乐庭软件技术有限公司,430074 湖北省武汉市东湖高新技术开发区软件园中路4号光谷软件园六期2栋9层01室,CHN,.,H04L12/40(2006.01),H04L12/40(2006.01);H04L12/24(2006.01);H04L12/26(2006.01),3.0,3921.0,通信系统设备制造,研发与设计电气设备生产,专用技术研发与设计汽车测试电控系统生产
CN108058594B,一种带助力机构的离合器踏板,发明授权,2017-12-19,2018-05-22,2020-05-19,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60K23/02(2006.01),B60K23/02(2006.01),1.0,3660.0,汽车零部件及配件制造,整车组装辅助系统生产,智能装置生产传动系统生产
CN107560630B,一种车辆导航中的偏移判断方法及装置,发明授权,2017-07-28,2018-01-09,2019-10-25,北京路浩知识产权代理有限公司,专利权质押合同登记的生效、变更及注销,企业,武汉依迅北斗空间技术有限公司,430040 湖北省武汉市东湖新技术开发区武大科技园以南、万科城市花园西侧国家地球空间信息产业基地Ⅱ区（6期）A-1幢2层3号,CHN,,G01C21/34(2006.01),G01C21/34(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计电气设备生产,专用技术研发与设计智能装置生产
CN104690326B,一种超大型立车底座的传动轴孔加工方法及步骤,发明授权,2013-12-06,2015-06-10,2017-07-18,,授权,企业,武汉重型机床集团有限公司,430205 湖北省武汉市东湖新技术开发区佛祖岭产业园佛祖岭一路3号,CHN,,B23B35/00(2006.01),B23B35/00(2006.01),1.0,3421.0,金属切削机床制造,研发与设计,制造工艺研发与设计
CN107179192B,一种用于变速箱板簧耐久试验的装置,发明授权,2017-05-25,2017-09-19,2019-05-28,北京轻创知识产权代理有限公司,授权,企业,武汉泛洲机械制造有限公司,430056 湖北省武汉市经济技术开发区锦龙路8号,CHN,,G01M13/027(2019.01),G01M13/027(2019.01),1.0,4015.0,试验机制造,研发与设计汽车测试,制造工艺研发与设计汽车测试
CN111189649B,汽车A柱的侧方视野的验证装置和方法,发明授权,2020-01-19,2020-05-22,2020-12-29,武汉智权专利代理事务所(特殊普通合伙),发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,G01M17/007(2006.01),G01M17/007(2006.01),1.0,4015,试验机制造,研发与设计汽车测试,制造工艺研发与设计汽车测试
CN109211145B,用于汽车方向盘的转舵角测量装置及其使用方法,发明授权,2018-07-26,2019-01-15,2020-12-11,北京邦信阳专利商标代理有限公司,发明专利权授予,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道12号,CHN,.,G01B11/26(2006.01),G01B11/26(2006.01),1.0,4090.0,其他仪器仪表制造业,研发与设计电气设备生产,专用技术研发与设计传感器生产
CN105151636B,车载式伸缩皮带机,发明授权,2015-07-08,2015-12-16,2017-10-13,北京天奇智新知识产权代理有限公司,授权,企业,中铁工程机械研究设计院有限公司,430077 湖北省武汉市洪山区徐东大街55号,CHN,,B65G15/00(2006.01),B65G15/00(2006.01);B65G47/18(2006.01);B65G21/14(2006.01);B62D7/14(2006.01),4.0,3434.0,连续搬运设备制造,整车组装,内外装饰及附件生产
CN106841716B,一种适用于潮湿环境的实用型智能电力仪表,发明授权,2017-01-23,2017-06-13,2019-07-05,北京联瑞联丰知识产权代理事务所(普通合伙),授权,企业,武汉盛帆电子股份有限公司,430223 湖北省武汉市江夏区庙山开发区阳光大道9号,CHN,,G01R11/02(2006.01),G01R11/02(2006.01);G01R11/04(2006.01);H05K7/20(2006.01),3.0,4090.0,其他仪器仪表制造业,电气设备生产,仪表盘生产
CN107202670B,整车密封性淋雨测试系统,发明授权,2017-07-21,2017-09-26,2020-02-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,.,G01M3/02(2006.01),G01M3/02(2006.01),1.0,4015.0,试验机制造,汽车测试,汽车测试
CN104198107B,一种压力传感器及其制造方法,发明授权,2014-09-11,2014-12-10,2017-03-08,北京科亿知识产权代理事务所(普通合伙),授权,企业,武汉飞恩微电子有限公司,430075 湖北省武汉市东湖开发区高新大道999号海外人才大楼14楼,CHN,,G01L9/02(2006.01),G01L9/02(2006.01);G01L19/00(2006.01);G01L19/06(2006.01),3.0,4090.0,其他仪器仪表制造业,电气设备生产,传感器生产
CN106825917B,工件角度调整装置及其全自动激光打标设备,发明授权,2017-04-13,2017-06-13,2019-03-12,北京品源专利代理有限公司,授权,企业,武汉联航机电有限公司,200433 上海市杨浦区淞沪路303号创智天地三期11号楼502室,CHN,,B23K26/08(2014.01),B23K26/08(2014.01);B23K26/352(2014.01);B23K26/70(2014.01),3.0,3421.0,金属切削机床制造,研发与设计整车组装辅助系统生产,专用技术研发与设计智能装置生产
CN103587912B,多功能升降主线台板装置,发明授权,2013-11-12,2014-02-19,2016-01-06,武汉开元知识产权代理有限公司,授权,企业,东风本田汽车有限公司,430056 湖北省武汉市武汉经济技术开发区车城东路283号,CHN,,B65G35/00(2006.01),B65G35/00(2006.01),1.0,3434.0,连续搬运设备制造,整车组装辅助系统生产,内外装饰及附件生产
CN106451660B,一种均压电路,发明授权,2016-11-15,2017-02-22,2019-09-24,北京汇泽知识产权代理有限公司,授权,企业,武汉华中数控股份有限公司,430223 湖北省武汉市东湖新技术开发区庙山小区华中科技大学科技园,CHN,,H02J7/00(2006.01),H02J7/00(2006.01),1.0,3829.0,其他输配电及控制设备制造,电气设备生产,电控系统生产
CN106314181B,一种电动车辆在线快速充电系统和充电方法,发明授权,2016-09-08,2017-01-11,2018-12-25,武汉开元知识产权代理有限公司,授权,企业,武汉杜曼智能科技有限公司,430223 湖北省武汉市东湖开发区汤逊湖北路33号华工科技园.创新基地17栋1-4号房,CHN,.,B60L11/18(2006.01),B60L11/18(2006.01),1.0,3640.0,电车制造,电气设备生产,电控系统生产
CN109814446B,一种控制装置、一种搅拌车,发明授权,2019-01-14,2019-05-28,2020-07-07,,发明专利权授予,企业,武汉盛硕电子有限公司,430065 湖北省武汉市白沙洲银行中小企业城52栋,CHN,.,G05B19/042(2006.01),G05B19/042(2006.01),1.0,4011.0,工业自动控制系统装置制造,电气设备生产整车组装,控制器生产车厢生产
CN108915887B,增压直喷发动机缸盖及其冷却水套结构,发明授权,2018-06-26,2018-11-30,2020-04-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F02F1/36(2006.01),F02F1/36(2006.01),1.0,3412.0,内燃机及配件制造,发动机制造,发动机配件生产
CN109973171B,一种具有双金属片温控结构的内油底壳,发明授权,2019-03-28,2019-07-05,2020-04-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F01M11/00(2006.01),F01M11/00(2006.01),1.0,3412.0,内燃机及配件制造,发动机制造,发动机配件生产
CN109131003B,一种汽车自夹持杯托结构,发明授权,2018-09-25,2019-01-04,2020-05-19,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60N3/10(2006.01),B60N3/10(2006.01),1.0,3660.0,汽车零部件及配件制造,车身制造,内外装饰及附件生产
CN108044318B,一种薄壁、深孔气缸套的机械加工工艺,发明授权,2017-12-19,2018-05-18,2020-12-11,湖北武汉永嘉专利代理有限公司,发明专利权授予,企业,中石化石油机械股份有限公司三机分公司,430040 湖北省武汉市东西湖区吴家山田园路999号,CHN,.,B23P15/00(2006.01),B23P15/00(2006.01),1.0,3421.0,金属切削机床制造,研发与设计,制造工艺研发与设计
CN107605490B,单洞大断面隧道双侧壁施工转换工艺,发明授权,2017-08-28,2018-01-19,2018-11-09,广州嘉权专利商标事务所有限公司,授权,企业,中交第二航务工程局有限公司,430000 湖北省武汉市东西湖区金银湖路11号,CHN,.,E21D9/00(2006.01),E21D9/00(2006.01),1.0,3511.0,矿山机械制造,研发与设计,制造工艺研发与设计
CN109611302B,滑靴和柱塞的扣压组合模及扣压装置,发明授权,2018-12-28,2019-04-12,2020-10-30,武汉智权专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉泛洲中越合金有限公司,430056 湖北省武汉市经济技术开发区全力南路8号,CHN,.,F04B1/122(2020.01),F04B1/122(2020.01);F04B53/22(2006.01),2.0,3441.0,泵及真空设备制造,研发与设计整车组装辅助系统生产车身制造发动机制造汽车底盘生产电气设备生产汽车销售汽车维修与服务,制造工艺研发与设计模具生产
CN103696650B,一种绳轮式玻璃升降装置,发明授权,2013-12-18,2014-04-02,2016-08-17,武汉宇晨专利事务所,授权,企业,武汉东环车身系统有限公司,430056 湖北省武汉市经济开发区枫树三路38号,CHN,,E05F15/689(2015.01),E05F15/689(2015.01),1.0,3351.0,建筑、家具用金属配件制造,辅助系统生产,车窗生产
CN105128542B,一种多维度可调激光打标机,发明授权,2015-08-28,2015-12-09,2017-03-22,武汉凌达知识产权事务所(特殊普通合伙),授权,企业,武汉九武光电技术有限公司,430223 湖北省武汉市东湖新技术开发区武大科技园武大园一路11号,CHN,,B41J3/407(2006.01),B41J3/407(2006.01);B41J2/435(2006.01),2.0,3474.0,复印和胶印设备制造,研发与设计电气设备生产,专用技术研发与设计控制器生产
CN106369547B,内腔式透镜装置以及照明和/或信号指示设备,发明授权,2015-07-20,2017-02-01,2020-01-14,,发明专利权授予,企业,法雷奥照明湖北技术中心有限公司,430056 湖北省武汉市经济技术开发区耀华路6号,CHN,.,F21V5/04(2006.01),F21V5/04(2006.01),1.0,3879,灯用电器附件及其他照明器具制造,电气设备生产,车灯生产
CN110071848B,自动化测试命令行命令的方法、设备及存储介质,发明授权,2019-03-27,2019-07-30,2020-12-08,武汉智嘉联合知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉思普崚技术有限公司,430070 湖北省武汉市东湖新技术开发区光谷大道77号金融港后台服务中心一期A4栋2层01号,CHN,.,H04L12/26(2006.01),H04L12/26(2006.01);H04L29/06(2006.01),2.0,3921.0,通信系统设备制造,研发与设计电气设备生产,专用技术研发与设计汽车测试控制器生产电控系统生产
CN105064150B,一种作用于F轨的吊具,发明授权,2015-08-13,2015-11-18,2017-01-11,北京集佳知识产权代理有限公司,授权,企业,中铁十一局集团有限公司,430060 湖北省武汉市武昌区中山路277号,CHN,,E01B29/16(2006.01),E01B29/16(2006.01),1.0,3714.0,铁路专用设备及器材、配件制造,整车组装,整车组装
CN107200028B,一种磁动力车,发明授权,2017-05-11,2017-09-26,2019-09-24,北京众达德权知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61D15/00(2006.01),B61D15/00(2006.01);B61F5/52(2006.01);B61C11/00(2006.01),3.0,3714.0,铁路专用设备及器材、配件制造,研发与设计整车组装,专用技术研发与设计整车组装
CN109760503B,动力总成抗扭拉杆结构,发明授权,2018-12-27,2019-05-17,2020-07-10,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60K5/12(2006.01),B60K5/12(2006.01),1.0,3610.0,汽车整车制造,发动机制造,传动系统生产
CN109466421B,一种车灯与车灯框架连接结构,发明授权,2018-11-19,2019-03-15,2020-07-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,.,B60Q1/04(2006.01),B60Q1/04(2006.01);B60R19/50(2006.01),2.0,3872,照明灯具制造,电气设备生产车身制造,车灯生产车身壳体生产
CN103935422B,快速安装门框密封条的工具,发明授权,2014-04-29,2014-07-23,2016-04-13,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,B62D65/08(2006.01),B62D65/08(2006.01),1.0,3571.0,拖拉机制造,整车组装,车门生产
CN107037524B,光导部件、光学组件及照明和/或信号指示设备,发明授权,2016-02-03,2017-08-11,2019-09-24,中科专利商标代理有限责任公司,授权,企业,法雷奥照明湖北技术中心有限公司,430056 湖北省武汉市经济技术开发区耀华路6号,CHN,,G02B6/00(2006.01),G02B6/00(2006.01),1.0,3832,光纤、光缆制造,电气设备生产,车灯生产
CN106877278B,一种基于负载检测的电路过载保护系统及保护方法,发明授权,2016-12-28,2017-06-20,2019-04-09,武汉科皓知识产权代理事务所(特殊普通合伙),授权,企业,武汉智能控制工业技术研究院有限公司,430040 湖北省武汉市东西湖区将军路宏图大道8号武汉客厅C展厅,CHN,,H02H3/08(2006.01),H02H3/08(2006.01),1.0,3823.0,配电开关控制设备制造,辅助系统生产电气设备生产,汽车安保系统生产电控系统生产
CN110634291B,基于众包大数据的高精度地图拓扑自动构建方法及系统,发明授权,2019-09-17,2019-12-31,2020-12-29,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G08G1/01(2006.01),G08G1/01(2006.01);G08G1/123(2006.01);G01C21/20(2006.01),3.0,3596,交通安全、管制及类似专用设备制造,研发与设计,专用技术研发与设计
CN107449345B,一种前后车门防擦条的间隙面差检测工具及其检测方法,发明授权,2017-07-31,2017-12-08,2019-10-08,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,G01B5/14(2006.01),G01B5/14(2006.01),1.0,4090,其他仪器仪表制造业,研发与设计车身制造,制造工艺研发与设计车门生产汽车测试
CN109131407B,一种凹底架及多式联运车,发明授权,2018-09-10,2019-01-04,2020-04-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B61F1/00(2006.01),B61F1/00(2006.01);B61D3/18(2006.01);B61D3/20(2006.01),3.0,3713.0,铁路机车车辆配件制造,整车组装,车架生产
CN105698804B,用于解决导航数据增量更新过程中数据冲突的完备包更新方法及系统,发明授权,2016-01-15,2016-06-22,2018-09-28,武汉河山金堂专利事务所(普通合伙),授权,企业,武汉中海庭数据技术有限公司,430073 湖北省武汉市东湖新技术开发区软件园中路4号光谷软件园六期2栋7层01室,CHN,.,G01C21/32(2006.01),G01C21/32(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计电气设备生产,专用技术研发与设计智能装置生产电控系统生产
CN105522498B,一种焊缝质量检测辅助工装及检测方法,发明授权,2015-12-25,2016-04-27,2017-12-19,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B25B11/00(2006.01),B25B11/00(2006.01),1.0,3322.0,手工具制造,研发与设计,制造工艺研发与设计汽车测试
CN106638463B,一种横梁钢筋绑扎支撑架的施工方法,发明授权,2017-01-24,2017-05-10,2019-01-11,武汉开元知识产权代理有限公司,授权,企业,中交第二航务工程局有限公司,430040 湖北省武汉市东西湖区金银湖路11号,CHN,,E02B3/06(2006.01),E02B3/06(2006.01),1.0,3597,水资源专用机械制造,研发与设计,制造工艺研发与设计
CN103645043B,一种组合式剪力键受力试验测试方法,发明授权,2013-12-18,2014-03-19,2016-05-04,武汉开元知识产权代理有限公司,授权,企业,中交第二航务工程局有限公司,430040 湖北省武汉市东西湖区金银湖路11号,CHN,,G01M13/00(2006.01),G01M13/00(2006.01),1.0,4015.0,试验机制造,研发与设计,汽车测试
CN103588125B,齿轮齿条支腿伸缩装置,发明授权,2013-11-19,2014-02-19,2016-05-18,武汉开元知识产权代理有限公司,专利权的终止,企业,山推楚天工程机械有限公司,430223 湖北省武汉市东湖开发区光谷三路628号,CHN,,B66C23/80(2006.01),B66C23/80(2006.01);B60S9/02(2006.01),2.0,3432.0,起重机制造,整车组装辅助系统生产,传动系统生产
CN105798705B,奥氏体不锈钢盘类零件高精度孔系的加工补偿方法,发明授权,2014-12-30,2016-07-27,2018-02-02,,授权,企业,武汉重型机床集团有限公司,430205 湖北省武汉市东湖新技术开发区佛祖岭产业园佛祖岭一路3号,CHN,.,B23Q23/00(2006.01),B23Q23/00(2006.01),1.0,3425.0,机床附件制造,研发与设计,制造工艺研发与设计
CN109672479B,一种用于消除车载无线充电对PEPS干扰的控制系统及控制方法,发明授权,2018-12-07,2019-04-23,2020-04-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,H04B15/02(2006.01),H04B15/02(2006.01);G07C9/00(2020.01);B60R16/023(2006.01),3.0,3921.0,通信系统设备制造,电气设备生产,智能装置生产电控系统生产
CN105371859B,基于安全驾驶地图的车道级别的导航引导系统和方法,发明授权,2015-11-05,2016-03-02,2018-05-08,武汉河山金堂专利事务所(普通合伙),授权,企业,武汉光庭信息技术股份有限公司,430079 湖北省武汉市东湖开发区光谷软件园一期以西、南湖南路以南光谷软件园六期2幢8层208号,CHN,.,G01C21/34(2006.01),G01C21/34(2006.01);G01C21/30(2006.01),2.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计电气设备生产,专用技术研发与设计智能装置生产电控系统生产
CN105239474B,一种轨排的安装精调方法及系统,发明授权,2015-11-23,2016-01-13,2019-07-02,北京集佳知识产权代理有限公司,授权,企业,中铁十一局集团有限公司,430060 湖北省武汉市武昌区中山路277号,CHN,,E01B29/02(2006.01),E01B29/02(2006.01);E01B35/00(2006.01),2.0,3714.0,铁路专用设备及器材、配件制造,研发与设计,专用技术研发与设计
CN106080242B,纯电动汽车的电机功率控制方法和系统,发明授权,2016-07-07,2016-11-09,2018-09-14,武汉河山金堂专利事务所(普通合伙),授权,企业,扬子江汽车集团有限公司,430040 湖北省武汉市东西湖区金潭路18号,CHN,.,B60L11/18(2006.01),B60L11/18(2006.01);B60L15/20(2006.01),2.0,3640.0,电车制造,研发与设计电气设备生产,专用技术研发与设计电动机生产电控系统生产
CN105915292B,一种28G SFP封装的光模块,发明授权,2016-04-08,2016-08-31,2019-03-05,北京汇泽知识产权代理有限公司,授权,企业,武汉华工正源光子技术有限公司,430223 湖北省武汉市东湖高新技术开发区华中科技大学科技园正源光子产业园,CHN,,H04B10/40(2013.01),H04B10/40(2013.01),1.0,3921,通信系统设备制造,电气设备生产,其他用电装置生产
CN104730277B,一种变速箱转速测量方法,发明授权,2015-04-01,2015-06-24,2017-10-03,湖北武汉永嘉专利代理有限公司,授权,企业,武汉理工通宇新源动力有限公司,430079 湖北省武汉市东湖新技术开发区大学园路理工大学科技园,CHN,,G01P3/481(2006.01),G01P3/481(2006.01),1.0,4022.0,运输设备及生产用计数仪表制造,研发与设计,汽车测试
CN110434226B,一种尾灯支架的加工方法及加工模具,发明授权,2019-08-13,2019-11-12,2020-10-23,,发明专利权授予,企业,武汉市尚佳盛汽车配件有限公司,430000 湖北省武汉市汉南经济开发区武汉模具工业园第A34幢3号,CHN,.,B21D35/00(2006.01),B21D35/00(2006.01);B21D37/10(2006.01),2.0,3311.0,金属结构制造,车身制造,模具生产车灯生产
CN105171486B,斜面套产品加工夹具,发明授权,2015-08-28,2015-12-23,2018-02-16,武汉河山金堂专利事务所(普通合伙),授权,企业,武汉泛洲中越合金有限公司,430056 湖北省武汉市经济技术开发区全力南路8号,CHN,.,B23Q3/12(2006.01),B23Q3/12(2006.01),1.0,3425.0,机床附件制造,研发与设计,制造工艺研发与设计
CN109695653B,一种集成式阻尼及刚度调节装置,发明授权,2019-01-23,2019-04-30,2020-05-19,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F16F9/08(2006.01),F16F9/08(2006.01);F16F9/32(2006.01);F16F9/53(2006.01),3.0,3483.0,弹簧制造,辅助系统生产,汽车安全装置生产
CN107983811B,一种D形钢管的辊弯成型方法,发明授权,2017-11-30,2018-05-04,2019-05-17,武汉国越知识产权代理事务所(特殊普通合伙),授权,企业,武汉钢铁江北集团冷弯型钢有限公司,430415 湖北省武汉市阳逻经济开发区滨江大道特1号,CHN,,B21D7/08(2006.01),B21D7/08(2006.01),1.0,3311.0,金属结构制造,研发与设计,制造工艺研发与设计
CN103963791B,一种用于漏斗车底门的显示装置,发明授权,2014-04-30,2014-08-06,2017-02-08,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,湖北省武汉市江夏经济开发区大桥新区,CHN,,B61D7/02(2006.01),B61D7/02(2006.01),1.0,3711.0,铁路机车车辆及动车组制造,辅助系统生产电气设备生产,智能装置生产电控系统生产
CN109515154B,一种防滑移悬置支架及其连接结构,发明授权,2018-11-21,2019-03-26,2020-04-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60K5/12(2006.01),B60K5/12(2006.01),1.0,3610.0,汽车整车制造,整车组装辅助系统生产,车身壳体生产车架生产
CN104149852B,一种自动导航车及其驱动结构,发明授权,2014-08-08,2014-11-19,2016-08-24,北京华沛德权律师事务所,授权,企业,湖北机电院装备制造有限责任公司,430200 湖北省武汉市江夏区大桥新区民营工业园内,CHN,,B62D11/04(2006.01),B62D11/04(2006.01);B60K1/02(2006.01),2.0,3660.0,汽车零部件及配件制造,研发与设计整车组装,专用技术研发与设计整车组装
CN106078586B,一种高空狭小处螺栓紧固装置,发明授权,2016-08-01,2016-11-09,2018-01-19,杭州君度专利代理事务所(特殊普通合伙),授权,企业,中铁建电气化局集团南方工程有限公司,430000 湖北省武汉市东湖开发区佳园路17号中铁建电气化局集团南方工程有限公司办公楼,CHN,.,B25B13/48(2006.01),B25B13/48(2006.01),1.0,3322,手工具制造,研发与设计,专用技术研发与设计
CN104214071B,一种往复柱塞式气体压缩机及方法,发明授权,2014-09-09,2014-12-17,2017-02-15,北京天奇智新知识产权代理有限公司,授权,企业,武汉齐达康环保科技股份有限公司,430051 湖北省武汉市汉阳区永丰街彭家岭366号,CHN,,F04B35/02(2006.01),F04B35/02(2006.01);F04B27/12(2006.01);F04B39/10(2006.01),3.0,3441.0,泵及真空设备制造,发动机制造,制造工艺研发与设计
CN104832280B,完善实用高效输出的内燃机,发明授权,2015-01-08,2015-08-12,2017-08-08,,授权,企业,武汉富国发动机科技有限公司,430000 湖北省武汉市东湖新技术开发区高新二路41号谷方5栋5层C9室,CHN,,F02B75/32(2006.01),F02B75/32(2006.01),1.0,3412.0,内燃机及配件制造,发动机制造,制造工艺研发与设计发动机配件生产
CN105666110B,一种用于车辆装配的拧紧装置,发明授权,2016-03-25,2016-06-15,2018-04-20,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,.,B23P19/06(2006.01),B23P19/06(2006.01),1.0,3599.0,其他专用设备制造,整车组装,Null
CN108809408B,带反光片实现背光监控功能的光传输组件及装置,发明授权,2018-08-15,2018-11-13,2020-09-25,北京汇泽知识产权代理有限公司,发明专利权授予,企业,武汉华工正源光子技术有限公司,430223 湖北省武汉市东湖高新技术开发区华中科技大学科技园正源光子产业园,CHN,.,H04B10/07(2013.01),H04B10/07(2013.01);H04B10/25(2013.01),2.0,3921.0,通信系统设备制造,电气设备生产,智能装置生产传感器生产
CN109795468B,一种识别车辆热衰退现象的系统和方法,发明授权,2018-12-20,2019-05-24,2020-06-02,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60T17/22(2006.01),B60T17/22(2006.01),1.0,3660.0,汽车零部件及配件制造,研发与设计汽车测试,专用技术研发与设计汽车测试
CN109048494B,一种基于能耗型的刀具寿命综合管理方法及系统,发明授权,2018-09-19,2018-12-21,2019-12-10,北京汇泽知识产权代理有限公司,授权,企业,武汉华中数控股份有限公司,430223 湖北省武汉市东湖新技术开发区庙山小区华中科技大学科技园,CHN,,B23Q17/09(2006.01),B23Q17/09(2006.01),1.0,3425.0,机床附件制造,研发与设计,专用技术研发与设计
CN103071835B,汽车零部件双工位微型专用龙门铣床,发明授权,2013-01-18,2013-05-01,2016-05-04,武汉开元知识产权代理有限公司,授权,企业,武汉敏惠汽车零部件有限公司,430056 湖北省武汉市武汉经济技术开发区枫树2路41MD,CHN,,B23C1/08(2006.01),B23C1/08(2006.01),1.0,3421.0,金属切削机床制造,研发与设计整车组装辅助系统生产,制造工艺研发与设计模具生产
CN104482893B,一种交叉结构转向架的检测方法,发明授权,2014-11-07,2015-04-01,2017-08-29,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,G01B21/00(2006.01),G01B21/00(2006.01);G01B21/02(2006.01),2.0,4090.0,其他仪器仪表制造业,汽车维修与服务,汽车测试
CN103344427B,汽车燃油箱注油管通气性能测试装置,发明授权,2013-07-17,2013-10-09,2017-02-08,武汉开元知识产权代理有限公司,授权,企业,东风亚普汽车部件有限公司,430056 湖北省武汉市武汉经济技术开发区车城大道242号,CHN,,G01M13/00(2006.01),G01M13/00(2006.01),1.0,4015.0,试验机制造,汽车测试,汽车测试
CN110341797B,一种组合横梁及车辆,发明授权,2019-07-24,2019-10-18,2020-10-16,北京超凡宏宇专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉智能控制工业技术研究院有限公司,430000 湖北省武汉市东西湖区将军路街金银潭大道北、银潭路南1栋1层商8室（12）,CHN,.,B62D21/02(2006.01),B62D21/02(2006.01);B62D29/00(2006.01),2.0,3630,低速载货汽车制造,整车组装,车身壳体生产
CN109000678B,基于高精度地图的驾驶辅助装置及方法,发明授权,2018-08-23,2018-12-14,2020-11-17,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G01C21/34(2006.01),G01C21/34(2006.01);B60W40/06(2012.01),2.0,4023,导航、气象及海洋专用仪器制造,辅助系统生产,智能装置生产
CN104163091B,一种汽车后背门,发明授权,2014-08-18,2014-11-26,2016-05-18,广州三环专利代理有限公司,授权,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道12号,CHN,,B60J5/10(2006.01),B60J5/10(2006.01),1.0,3660.0,汽车零部件及配件制造,车身制造,车门生产
CN107994828B,一种永磁同步电机交直轴电感测量方法,发明授权,2017-12-29,2018-05-04,2020-01-14,武汉东喻专利代理事务所(普通合伙),发明专利权授予,企业,武汉英弗耐斯电子科技有限公司,430073 湖北省武汉市光谷软件园A9栋401室,CHN,.,H02P21/14(2016.01),H02P21/14(2016.01),1.0,3811.0,发电机及发电机组制造,研发与设计电气设备生产,专用技术研发与设计电动机生产
